id,channel_name,video_title,phone_brand,phone_model,score,video_link
1,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",OnePlus,Open,1,https://www.youtube.com/watch?v=jD9n01Mck0Q
2,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",Honor,Magic V2,1,https://www.youtube.com/watch?v=jD9n01Mck0Q
3,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",Samsung,Z Flip 5,0,https://www.youtube.com/watch?v=jD9n01Mck0Q
4,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",Motorola,Razr 40,0,https://www.youtube.com/watch?v=jD9n01Mck0Q
5,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",Apple,iPhone 14 Pro,0,https://www.youtube.com/watch?v=jD9n01Mck0Q
6,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",Samsung ,Z Fold 5,0,https://www.youtube.com/watch?v=jD9n01Mck0Q
7,mkbhd,"OnePlus Open is Awesome - What's Happening with Folding Phones?!
",Asus,ZenFones,0,https://www.youtube.com/watch?v=jD9n01Mck0Q
8,mkbhd,"Google Pixel 8/8 Pro Review: We'll Fix It In Post!
",Google,Pixel 8,1,https://www.youtube.com/watch?v=BS8x2TicxQ8
9,mkbhd,"Google Pixel 8/8 Pro Review: We'll Fix It In Post!
",Google,Pixel 8 Pro,0,https://www.youtube.com/watch?v=BS8x2TicxQ8
10,mkbhd,"Google Pixel 8/8 Pro Review: We'll Fix It In Post!
",Google,Pixel 6,0,https://www.youtube.com/watch?v=BS8x2TicxQ8
11,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Apple,iPhone 15,1,https://www.youtube.com/watch?v=0X0Jm8QValY
12,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Apple,iPhone se,0,https://www.youtube.com/watch?v=0X0Jm8QValY
13,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Apple,iPhone 15 Pro,0,https://www.youtube.com/watch?v=0X0Jm8QValY
14,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Apple,iPhone 14,0,https://www.youtube.com/watch?v=0X0Jm8QValY
15,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Apple,iPhone 15 Plus,1,https://www.youtube.com/watch?v=0X0Jm8QValY
16,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Motorola,Moto G,1,https://www.youtube.com/watch?v=0X0Jm8QValY
17,mkbhd,"iPhone 15 Review: Welcome to the Club!
",Apple,iPhone 14 Pro,-1,https://www.youtube.com/watch?v=0X0Jm8QValY
18,mkbhd,Why Don't More Smartphones Have This?,TCL,40 NXTPAPER,0,https://www.youtube.com/watch?v=Ng5sHevRX3w
19,tech spurt,"iPhone 15 Pro Max Review | Two Months Later...
",Apple,iPhone 15 Pro Max,1,https://www.youtube.com/watch?v=iOCAK_QUihE
20,tech spurt,"iPhone 15 Pro Max Review | Two Months Later...
",Samsung,S23 Ultra,0,https://www.youtube.com/watch?v=iOCAK_QUihE
21,tech spurt,"iPhone 15 Pro Max Review | Two Months Later...
",Apple,iPhone 14 Pro,0,https://www.youtube.com/watch?v=iOCAK_QUihE
22,tech spurt,Snapdragon 8 Gen 3 BEAST! | IQOO 12 Unboxing & Review,IQOO,12,1,https://www.youtube.com/watch?v=wIwsom79xkw
23,tech spurt,Snapdragon 8 Gen 3 BEAST! | IQOO 13 Unboxing & Review,Apple,iPhone 15 Pro Max,0,https://www.youtube.com/watch?v=wIwsom80xkw
24,tech spurt,Snapdragon 8 Gen 3 BEAST! | IQOO 14 Unboxing & Review,Samsung,S23 Ultra,0,https://www.youtube.com/watch?v=wIwsom81xkw
25,tech spurt,Snapdragon 8 Gen 3 BEAST! | IQOO 15 Unboxing & Review,OnePlus,12,0,https://www.youtube.com/watch?v=wIwsom82xkw
26,tech spurt,"Better than iPhone 15 Pro Max, Half the Price! | Xiaomi 13T
",Xiaomi,13T,1,https://www.youtube.com/watch?v=2ipBP8ThixI
27,tech spurt,"Better than iPhone 15 Pro Max, Half the Price! | Xiaomi 13T
",Xiaomi,13T Pro,0,https://www.youtube.com/watch?v=2ipBP8ThixI
28,tech spurt,"Better than iPhone 15 Pro Max, Half the Price! | Xiaomi 13T
",Xiaomi,13T,1,https://www.youtube.com/watch?v=2ipBP8ThixI
29,tech spurt,"Better than iPhone 15 Pro Max, Half the Price! | Xiaomi 13T
",Xiaomi,13T Pro,0,https://www.youtube.com/watch?v=2ipBP8ThixI
30,tech spurt,"Better than iPhone 15 Pro Max, Half the Price! | Xiaomi 13T
",Xiaomi,13T,1,https://www.youtube.com/watch?v=2ipBP8ThixI
31,tech spurt,"Better than iPhone 15 Pro Max, Half the Price! | Xiaomi 13T
",Xiaomi,13T Pro,0,https://www.youtube.com/watch?v=2ipBP8ThixI
32,tech spurt,"Motorola Moto G54 5G | Unboxing, Camera, Gaming & More!
",Motorola,Moto G54,0,https://www.youtube.com/watch?v=i34Sg-E_kHY
33,tech spurt,"Motorola Moto G54 6G | Unboxing, Camera, Gaming & More!
",Motorola,Moto G84,1,https://www.youtube.com/watch?v=i35Sg-E_kHY
34,tech spurt,"Motorola Moto G54 7G | Unboxing, Camera, Gaming & More!
",Motorola,Edge 40 Neo,1,https://www.youtube.com/watch?v=i36Sg-E_kHY
